FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="00784415","27/12/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Cantidad en pesos recibida por el ombudsman de Sonora durante el año 2015 por concepto de sueldos, aguinaldos, bonos de ley, bonos de productividad, prestaciones, comprensaciones y cualquier otro tipo de ingreso que se les otorgue.","Por favor separar el monto de ingreso mensual y el total anual por concepto (sueldo, compensacion, bono, etcetera).","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/89440DBA05B44E96","Consulta vía Correo Electrónico - Sin Costo","26/01/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información pública folio 00784415 Emmanuell Morales / Investigaciones Especiales Jalisco","22/01/2016","MEXICO","Jalisco","Guadalajara","44500",Organismos Autónomos
="00784315","27/12/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Cantidad en pesos recibida por el ombudsman de Sonora durante el año 2015 por concepto de sueldos, aguinaldos, bonos de ley, bonos de productividad, prestaciones, comprensaciones y cualquier otro tipo de ingreso que se les otorgue.","Por favor separar el monto de ingreso mensual y el total anual por concepto (sueldo, compensacion, bono, etcetera).","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/A3D9FABF56F663DD","Consulta vía Infomex - Sin costo","26/01/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud folio 00784315","22/01/2016","MEXICO","Jalisco","Guadalajara","",Organismos Autónomos
="00784515","27/12/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Cantidad en pesos recibida por los directores y otros mandos de nivel alto y medio de la Comisión de Derechos Humanos de Sonora durante el año 2015 por concepto de sueldos, aguinaldos, bonos de ley, bonos de productividad, prestaciones, comprensaciones y cualquier otro tipo de ingreso que se les otorgue.","Por favor separar el monto de ingreso mensual y el total anual por concepto (sueldo, compensacion, bono, etcetera).","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/8007E845D02018BA","Consulta vía Correo Electrónico - Sin Costo","26/01/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud folio 00784515 de Emmanuell Morales de Investigaciones Especiales Jaslisco.","22/01/2016","MEXICO","Jalisco","Guadalajara","44500",Organismos Autónomos
="00059916","22/01/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Número de quejas de violaciones a DDHH presuntamente cometidas por policías y/o militares, desagregadas a partir de lo siguiente:
            
            Por tipo de derecho violado           
            Por año desde 2006 a 2015
            Por tipo de autoridad que la cometió (policía estatal, policía municipal, militares)
            Por municipio donde se cometió","FAVOR ENTREGAR FORMATO EXCEL","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/A664D5F7A7A46334","Consulta vía Correo Electrónico - Sin Costo","12/02/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información folio 00059916","11/02/2016","MEXICO","","","",Organismos Autónomos
="00062116","24/01/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. Solicito se me informe cuánto presupuesto recibe la CEDH cada año. 2. Solicito se me informe cuánto presupuesto se ha destinado en todo lo que tiene que ver con quejas y recomendaciones en Hermosillo del 2015 a lo que va del 2016. 3. Solicito se me entregue un desglose donde se  informe la cantidad y destino de inversión  del recurso en lo que respecta al periodo 2015 y lo que va del 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/6F5AF09A4DC97C2C","Consulta vía Infomex - Sin costo","16/02/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información pública folio 00062116","12/02/2016","MEXICO","Sonora","Navojoa","85235",Organismos Autónomos
="00067916","26/01/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Con fines académicos, solicito copia en versión púbica de todas las denucias interpuestas contra elementos de la policía municipal de Hermosillo en los últimos diez años así como la resolución de las mismas","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/21EA696B19F0EAF5","Consulta vía Correo Electrónico - Sin Costo","18/02/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información pública folio 00067916","16/02/2016","MEXICO","Sonora","Hermosillo","83148",Organismos Autónomos
="00068216","26/01/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1.Solicito se me informe cuántas quejas por bullying escolar recibieron en el 2015 en Hermosillo y de qué escuelas provenían. 2. Solicito se me informe cuántas quejas recibieron en total en el 2015 en todo Sonora y cuántas de éstas eran por bullying.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/CDF97B03CE150FDC","Consulta vía Infomex - Sin costo","18/02/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información pública folio 00068216 de Valeria López López","15/02/2016","MEXICO","Sonora","Hermosillo","83190",Organismos Autónomos
="00100116","05/02/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","-¿TOTAL DE PLAZAS DE MÉDICO LEGISTA Y O
FORENSE QUE CUENTAN?
-¿TOTAL DE PLAZAS DE MÉDICO LEGISTA Y O
FORENSE OCUPADAS?
-¿TOTAL DE PLAZAS DE MÉDICO LEGISTA O FORENSE
VACANTES?
-¿SUELDO NETO MENSUAL DE MÉDICO LEGISTA O
FORENSE?
-¿ESTUDIO ACADÉMICO DE CADA UNO DE LOS
SERVIDORES QUE OCUPAN PLAZAS DE MÉDICO
LEGISTA O FORENSE?
-¿REQUISITOS PARA OCUPAR LA PLAZA DE MÉDICO
LEGISTA O FORENSE?","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/789CCBCDABA9D4EC","Consulta vía Infomex - Sin costo","29/02/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud folio 00100116","26/02/2016","MEXICO","San Luis Potosí","San Luis Potosí","78339",Organismos Autónomos
="00144716","25/02/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","numero de casos y tipos de casos de discriminación en el Estado de Sonora y en el Municipio de Hermosillo Sonora","Datos del 2015-2016 

todo tipo de discriminación desde el ámbito escolar, laboral, social y de salud","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/AB0010F8961C2DB1","Consulta vía Infomex - Sin costo","17/03/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información pública folio 00144716.","14/03/2016","MEXICO","Sonora","Hermosillo","83118",Organismos Autónomos
="00150716","25/02/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Lista de quejas por violaciones a DDHH
presuntamente cometidas por policías y/o militares donde por cada queja se especifique:
(1) El municipio en que se cometió
(2) El tipo de autoridad que la cometió: policía municipal, estatal o militares
(3) El año: de 2006 a 2015
(4) El tipo de derecho violado","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/5D00C437B1C1F935","Consulta vía Infomex - Sin costo","17/03/2016","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud folio 00150716 de Kenia Godínez Nogueda.","14/03/2016","MEXICO","","","",Organismos Autónomos
