FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="260502222000001","27/12/2021","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Solicito número de quejas presentadas desde 2017 hasta la actualidad contra servidores públicos por represión o violencia durante protestas, marchas, manifestaciones, plantones o cualquier acto ciudadano. Solicito desglose por año, tipo de evento, cómo se desarrolló la represión, si hubo o no heridos, qué tipo de armas se emplearon, si hubo o no recomendación posterior, si hubo o no carpeta de investigación, si hubo o no muertos, qué cuerpo policial o funcionario participó. ","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/85AD8EDFDEB2C588","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","24/01/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 03 de Enero del 2022 que deriva del folio: 260502222000001, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","24/01/2022","","","","",Organismos Autónomos
="260502222000002","03/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Solicito información sobre posible denuncia de un servidor público de nombre 
Hilario Martin Mexia Castro
Y posible copia de denuncia.","Hilario Martin Mexia Castro
Ha sido funcionario en los municipios de Empalme, Guaymas y Huatabampo.","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/A1C4AF79B0C86E67","Copia certificada","25/01/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 04 de Enero del 2022 que deriva del folio: 260502222000002, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","24/01/2022","","","","",Organismos Autónomos
="260502222000003","04/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","a) Número de quejas recibidas por esta Comisión Estatal de Derechos Humanos entre el 01-enero-2021 al 31-diciembre-2021, preferentemente en formato PDF o Excel, desagregadas por los siguientes hechos violatorios: 

1) tortura  

2) trato cruel, inhumano o degradante  ","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/52D54B9540CA6B6B","Cualquier otro medio incluido los electrónicos","25/01/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 04 de Enero del 2022 que deriva del folio: 260502222000003, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","24/01/2022","","","","",Organismos Autónomos
="260502222000004","07/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Con fundamento en los artículos 4, 6, 11 y 12 de la Ley General de Transparencia y Acceso a la Información Pública, se solicita la información correspondiente a:                                                                                                                                                                                                                                                                                                                                                                   1.- Proporcionar (en su versión pública y archivo digital Excel o su similar) información acerca del número de quejas presentadas por hechos relacionados a detenciones arbitrarias e ilegales, en el año 2021 (meses noviembre y diciembre). Presentar, por favor, los datos desagregados por las siguientes categorías:
Hombres
Mujeres
Población LGBT+
Periodistas
Personas Defensoras de Derechos Humanos
Personas Migrantes
Hombres Jóvenes (rango 12 a 29 años)
Mujeres Jóvenes (rango 12 a 29 años)
Población LGBT+ (rango 12 a 29 años)
Personas Migrantes (rango 12 a 29 años)
Autoridades mayoritariamente señaladas por detenciones arbitrarias e ilegales 
Municipios con mayor contabilización de quejas por detenciones arbitrarias e ilegales

2.- Proporcionar (en su versión pública) la información en archivo digital Word o PDF, donde se especifiquen los siguientes puntos:
a.- Se señalen qué acciones ha llevado esta Comisión a cabo durante el año 2021 (noviembre y diciembre), para prevenir y erradicar la práctica de las detenciones arbitrarias e ilegales hacia personas jóvenes. ","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/394EB803A4FA588D","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","28/01/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 07 de Enero del 2022 que deriva del folio: 260502222000004, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","25/01/2022","","","","",Organismos Autónomos
="260502222000006","11/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Todo convenio firmado entre la Congregación Mariana Trinitaria AC y autoridades gubernamentales estatales, estatales y municipales, o municipales objeto del convenio, montos, vigencia, firmantes, etc. durante 2019, 2020 y 2021.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/FC40DF76F0E64C38","Copia Simple","01/02/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 11 de Enero del 2022 que deriva del folio: 260502222000006, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","28/01/2022","","Sonora","","",Organismos Autónomos
="260502222000005","11/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Solicito el registro del estado de Sonora de personas desaparecidas y no localizadas, según el artículo 4 fracción XXl de cada persona desaparecida desde el 4 de mayo del 2019 hasta el 10 de enero del 2022 con edad-género y lugar de desaparecion.","Estadísticas de personas desaparecidas desde el 4 de mayo de 2019 hasta el 10 de enero de 2022 con edad, género, y lugar de desaparición ","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/20B4179E83FD0BD4","Copia certificada","01/02/2022","Declinar por razón de competencia","SE DECLINA POR RAZON DE COMPETENCIA","13/01/2022","","","","",Organismos Autónomos
="260502222000008","19/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Buen día, me interesa saber: 
¿Cuántas personas reportadas como desaparecidas hay en Sonora, por año, en los últimos 10 años, por genero y municipio?
¿Cuántos restos han sido encontrados en fosas clandestinas? De esos, ¿cuántos han sido identificados y cuántos faltan? 
¿Cuántos ya fueron entregados a sus familiares?
Al respecto, ¿cuanto tiempo esperan y en donde, antes de descartar la posibilidad de entregar a familiares?
¿Cuándo se decide que van a las fosas comunes? ¿Cuántos restos de desaparecidos/personas han sido llevadas a fosas comunes? ","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/7D7171F291D15501","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","11/02/2022","Declinar por razón de competencia","SE DECLINA POR RAZON DE COMPETENCIA","24/01/2022","","","","",Organismos Autónomos
="260502222000009","20/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Deseo conocer.

1. Número de quejas por presuntas violaciones a los derechos humanos recibidas en la Comisión en 2021.
2. Número de recomendaciones emitidas por la Comisión en 2021.
3. Presupuesto asignado a la Comisión en 2021 y 2022.
4. Principal hecho violatorio de derechos humanos reportado en las quejas de la Comisión en 2021.
5. Número de quejas en proceso de atención en 2021","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/0F1F6C9EC0683C4D","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","11/02/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 20 de Enero del 2022 que deriva del folio: 260502222000009, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","11/02/2022","","","","",Organismos Autónomos
="260502222000007","19/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Cuantas quejas se recibieron por el no surtimiento de recetas médicas por parte de los servicios públicos de salud en el estado de Sonora durante los años 2019, 2020 y 2021? que institución de salud fue la que presentó más quejas?, cuantas quejas por el desabasto de medicamentos, falta de atención especializada y negligencias médicas se recibieron en dicho periodo y que instituciones se reportaron?","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/D2D76802910561A9","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","11/02/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 20 de Enero del 2022 que deriva del folio: 260502222000007, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","11/02/2022","","","","",Organismos Autónomos
="260502222000010","27/01/2022","Comisión Estatal de Derechos Humanos del Estado de Sonora","Terminada","Electrónica","Información pública","Solito me informe a ¿Cuántas personas que presentaron queja por tortura o por tratos o penas crueles, inhumanos o degradantes (TPCID) se les realizó un peritaje especializado médico-psicológico, para la documentación de secuelas de posible tortura o TPCID entre el 1 de enero de 2021 y el 31 de diciembre de 2021?
Se solicita desagregar la información por sexo, edad, derecho violentado y autoridad en contra de quien se presentó la queja.

De los peritajes referidos en la respuesta a la pregunta anterior, ¿en cuántos se concluyó, ya sea en el componente médico, psicológico o ambos, que los indicios encontrados SÍ son coincidentes con los hechos de tortura o y/o tratos crueles, inhumanos o degradantes denunciados, y en cuántos se concluyó que dichos indicios NO coinciden con los hechos denunciados.  entre el 1 de enero de 2021 y el 31 de diciembre de 2021. Solicito la información desglosada por sexo, edad, derecho violentado y autoridad en contra de quien se presentó la queja.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/5857DBD835C8FE2F","Electrónico a través del sistema de solicitudes de acceso a la información de la PNT","18/02/2022","Notificación de respuesta de información disponible SIN COSTO","Atendiendo lo dispuesto en el artículo 129 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora me permito notificarle la RESPUESTA DEFINITIVA a su solicitud de información de fecha 27 de Enero del 2022 que deriva del folio: 260502222000010, contenida en datos adjuntos, misma que esperamos sea de su satisfacción.

Por otra parte, se le hace de su conocimiento que a partir de esta fecha, cuenta con un periodo de quince días hábiles para la interposición del recurso de revisión previsto en el artículo 138 de la Ley de Transparencia y Acceso a la Información Pública del Estado de Sonora, en su caso, y transcurrido dicho periodo, se le comunica que su solicitud será susceptible de archivo definitivo como asunto concluido.

Comisión Estatal de Derechos Humanos
Tel. 6623-13-81-01 Ext 152","14/02/2022","","","","",Organismos Autónomos
