FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="01342620","08/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","PREGUNTAS 
COMPLIANCE PROGRAM

1.¿Qué política anticorrupción se tiene en materia de contrataciones públicas? 

2.¿Qué estrategias anticorrupción se implementan en materia de contrataciones públicas? 

3.¿Qué acciones de anticorrupción se realizan en materia de contrataciones públicas? 

4.¿Qué indicadores anticorrupción se determinaron en materia de contrataciones públicas? 

5.¿Cuenta la institución con un Compliance Program para evitar actos de corrupción en materia de contrataciones públicas? ¿Cuál?

6.¿Cuentan los miembros del comité de compras gubernamentales con algún curso de Compliance Program para evitar actos de corrupción en materia de contrataciones públicas? ¿Cuál?

7.¿Cuentan el personal técnico que apoya en el proceso de licitación de compras gubernamentales con algún curso de Compliance Program para evitar actos de corrupción en materia de contrataciones públicas? ¿Cuál?

8.¿Cuentan los  programas de Contrataciones públicas con algún esquema de Compliance Program? ¿Cuál?

9.¿Cuál es el instrumento normativo que considera políticas, estrategias, acciones y/o indicadores de anticorrupción en materia de contrataciones públicas? 

10.¿En dónde está publicado el instrumento normativo que considera políticas, estrategias, acciones y/o indicadores de anticorrupción en materia de contrataciones públicas?

11.¿Cuánto recurso económico se utiliza para evitar actos de corrupción en materia de contrataciones públicas?
SE ENVÍA SOLICITUD, DONDE SE REQUIERE ATENDER UNICAMENTE LO CORRESPONDIENTE A SU UNIDAD DE TRANSPARENCIA, LA PRESENTE SOLICITUD SE TURNO A TODOS LOS SUJETOS OBLIGADOS (PODER EJECUTIVO, PODER LEGISLATIVO, PODER JUDICIAL, ORGANISMOS AUTÓNOMOS Y LOS 72 AYUNTAMIENTOS), (FAVOR DE NO REENVIAR).  
***ATENDER UNICAMENTE LO QUE A SU UNIDAD DE TRANSPARENCIA CORRESPONDA***
CORREO DEL SOLICITANTE: capcilevx@gmail.com","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/86F41BCDADAC043E","Consulta vía Infomex - Sin costo","26/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","15/01/2021","MEXICO","","","",Organismos Autónomos
="01354220","09/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Respetuosamente solicito a esta Comisión Estatal de Derechos Humanos de Sonora, la siguiente información

1.¿Cuántas quejas por tortura o malos tratos en las que se señale como responsable a una autoridad del gobierno de esta entidad han sido presentadas en el período 2014 a la fecha? Desagregar por año, autoridad señalada como responsable y sexo de la víctima.
2.De esas quejas presentadas, ¿cuántas han obtenido alguna recomendación por parte de esta Comisión? ¿Cuál ha sido su forma de terminación? Desagregar por año, autoridad señalada como responsable y sexo de la víctima.
3.¿Cuántas quejas por tortura sexual se han presentado ante esta Comisión de 2014 a la fecha? Desagregar por año y autoridad señalada como responsable en cada una.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/792E7C6BE60129B2","Otro medio","26/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","11/01/2021","MEXICO","","","",Organismos Autónomos
="01354420","09/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Respetuosamente solicito a esta Comisión Estatal de Derechos Humanos de Sonora, la siguiente información

1.¿Cuántas quejas por tortura o malos tratos en las que se señale como responsable a una autoridad del gobierno de esta entidad han sido presentadas en el período 2014 a la fecha? Desagregar por año, autoridad señalada como responsable y sexo de la víctima.
2.De esas quejas presentadas, ¿cuántas han obtenido alguna recomendación por parte de esta Comisión? ¿Cuál ha sido su forma de terminación? Desagregar por año, autoridad señalada como responsable y sexo de la víctima.
3.¿Cuántas quejas por tortura sexual se han presentado ante esta Comisión de 2014 a la fecha? Desagregar por año y autoridad señalada como responsable en cada una.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/D1A5217022095DA8","Otro medio","26/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","11/01/2021","MEXICO","","","",Organismos Autónomos
="01369520","12/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito información sobre el número de quejas, el concepto de las mismas y la autoridad responsable que hayan sido recibidas por la Comisión de Derechos Humanos de la Ciudad de México del 2015 al 2020 sobre niñas, niños y adolescentes en centros de asistencia social públicos y privados, omitiendo cualquier dato personal.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/242088B6F7E45460","Otro medio","27/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se declina a la Comisión de Derechos Humanos de la Ciudad de México.","07/01/2021","MEXICO","","","",Organismos Autónomos
="01376420","15/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Por favor de contestar esta pregunta en lo que toca a la institución suya y favor de declinarla a todos los sujetos obligados en el Estado de Sonora, gracias.

¿Hizo gastos por regalos, reuniones, festejos, bonos o cualesquier otro similar con motivo de las fiestas decembrinas?
¿A cuanto ascienden esos gastos?
¿En que partida del presupuesto se cargan esos gastos indicados?
SE ENVÍA SOLICITUD, DONDE SE REQUIERE ATENDER UNICAMENTE LO CORRESPONDIENTE A SU UNIDAD DE TRANSPARENCIA, LA PRESENTE SOLICITUD SE TURNO A TODOS LOS SUJETOS OBLIGADOS (PODER EJECUTIVO, PODER LEGISLATIVO, PODER JUDICIAL, ORGANISMOS AUTÓNOMOS Y LOS 72 AYUNTAMIENTOS), (FAVOR DE NO REENVIAR).  
***ATENDER UNICAMENTE LO QUE A SU UNIDAD DE TRANSPARENCIA CORRESPONDA***
CORREO DEL SOLICITANTE: anamariasalazar.colson@gmail.com","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/69CB773610971861","Consulta vía Infomex - Sin costo","27/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","15/01/2021","MEXICO","","","",Organismos Autónomos
="01390120","16/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Cuál ha sido el presupuesto anual que ha recibido la CEDH Sonora desde su creación y hasta el 2020? Desglosar la información por año, y por rubro.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/DADECEA2863E4FBB","Consulta vía Correo Electrónico - Sin Costo","27/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","20/01/2021","MEXICO","","","",Organismos Autónomos
="01390220","16/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Se solicita Directorio de trabajadores de la CEDH, con su cargo, y su sueldo neto mensual. En el caso de Visitadores y Encargados de Oficinas foráneas, se solicita su Curriculum.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/55037C875A1E84B2","Consulta vía Correo Electrónico - Sin Costo","27/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/01/2021","MEXICO","","","",Organismos Autónomos
="01390320","16/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Se solicita Plan de Trabajo e indicadores de la actual administración","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/8E7832B3A1C5D95C","Consulta vía Correo Electrónico - Sin Costo","27/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","20/01/2021","MEXICO","","","",Organismos Autónomos
="01390420","16/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Cuáles son las autoridades denunciadas por violaciones a derechos humanos  por parte de la ciudadanía en la actual administración. Se solicita la autoridad responsable y el porcentaje de quejas recibidas.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C0B42D5D3BA8E4AF","Consulta vía Correo Electrónico - Sin Costo","28/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","12/01/2021","MEXICO","","","",Organismos Autónomos
="01398720","18/12/2020","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","El total de número de recomendaciones, por violaciones a derechos humanos consistentes en Tratos Crueles, Inhumanos o Degradantes y/o Tortura del 01 de enero de 2015 a 01 de abril de 2020, así como el número de recomendación y/o expediente, en cuyo caso que no se le asigne número y autoridad a la que va dirigida dichas recomendaciones.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/B9EE053434A442F1","Otro medio","28/01/2021","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","20/01/2021","MEXICO","","","",Organismos Autónomos
