FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="00758214","23/12/2014","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Cuáles son las principales funciones del Instituto Superior de Derechos Humanos?","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/312CDF76C073A076","Consulta vía Correo Electrónico - Sin Costo","23/01/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a folio 00758214","09/01/2015","MEXICO","Sonora","Hermosillo","83001",Organismos Autónomos
="00054615","05/02/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Salario mensual de los cinco abogados que dan asesoría juridica y levantan quejas en la dirección de quejas en la comisión estatal derechos humanos sonora.","dirección general de quejas de la comisión estatal de derechos humanos en sonora","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/B6B81EB3DF17502C","Consulta vía Correo Electrónico - Sin Costo","27/02/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a folio 00054615","11/02/2015","MEXICO","","","",Organismos Autónomos
="00066815","12/02/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito el número de quejas abiertas por agravios, amenazas, agresiones y hostigamiento a periodistas en Sonora, incluyendo: número de queja otorgada (número de expediente), estado (en trámite o concluido), en caso de haberse concluido si fue por orientación, conciliación, recomendación, y la presunta autoridad responsable en cada casos. Lo anterior de 2013 y 2014.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/CBB08524CEF74744","Consulta vía Infomex - Sin costo","06/03/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta al folio 00066815","20/02/2015","MEXICO","Ciudad de México","Miguel Hidalgo","11850",Organismos Autónomos
="00130915","14/03/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito los contatos celebrados desde 2009 a la fecha entre le gobierno del estado, a través de cualquiera de sus oficinas, y empresas encuestadoras que hayan realizado cualquier tipo de estudio de opinión, encuesta, etc. Asimismo requiero los entregables resulatdo de cada contrato y la justificación de porque se contrataron a esa empresa y no a otras. NOTA: ESTA SOLICITUD FUE DECLINADA A TODOS LOS ENTES DEL EJECUTIVO. Mail: cinfer44@hot.com","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/827A43B9F60BEEE6","Consulta vía Infomex - Sin costo","10/04/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a la solicitud con folio  R-00130915","19/03/2015","MEXICO","","","",Organismos Autónomos
="00145815","24/03/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Cuántas víctimas del delito han acudido para presentar una queja de violación a sus derechos humanos entre el 1 de enero del 2012 y el 23 de marzo del 2015?","Además,  ¿Cuántos imputados/presuntos responsables/ procesados/ sentenciados por la probable comisión de algún delito  han acudido para presentar una queja de violación a derechos humanos durante el proceso entre el 1 de enero del 2012 y el 23 de marzo del 2015?","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BBF09A604DB7132A","Consulta vía Infomex - Sin costo","20/04/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a la solicitud de información folio 00145815","30/03/2015","MEXICO","","","",Organismos Autónomos
="00149415","25/03/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Requiero conocer si la Comisión ha emitido recomendaciones a alguna Autoridad acerca de violaciones al derecho a la consulta previa de las comunidades indígenas, cuando obras o proyectos afecten sus territorios, tal y como lo dispone los artículos 6, 15 y 17 del convenio 169 de la Organización Internacional del Trabajo y el artículo 2 de la constitución","De igual forma para el caso de que esa Comisión haya emitido recomendaciones en ese sentido, requiero una copia de la misma","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BE8B66CA141CD2E8","Consulta vía Infomex - Sin costo","22/04/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de información folio 00149415","30/03/2015","MEXICO","","","",Organismos Autónomos
="00168715","07/04/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Cuántos imputados/presuntos responsables/ procesados/ sentenciados por la probable comisión de algún delito  han acudido para presentar una queja de violación a derechos humanos durante el proceso entre el 1 de enero del 2012 y el 23 de marzo del 2015?","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/85CC9973E592AF42","Consulta vía Infomex - Sin costo","29/04/2015","06.- ACEPTADA, Respuesta Vía PNT","Se respuesta a solicitud folio 00168715","15/04/2015","MEXICO","","","",Organismos Autónomos
="00171715","09/04/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Por medio de la presente, solicito a su comisión información sobre el número de recomendaciones emitidas en el periodo comprendido entre enero de 2000 y febrero de 2015 por el fenómeno de desaparición forzada en contra de autoridades de su estado. Por favor detalle fecha de la recomendación, autoridad a la que se emitió la misma, acto por el que se emitió y estado de la recomendación.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/98A20626C4CA927B","Consulta vía Infomex - Sin costo","17/04/2015","04.- Rechazo por Inexistencia","Se informa a la solicitud folio 00171715 que no se que no se encontro información sobre lo solicitado.","14/04/2015","MEXICO","","","",Organismos Autónomos
="00159715","01/04/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Número de quejas recibidas en el periodo comprendido entre el 1 de agosto de 2012 al 31 de diciembre de 2013 en contra de prestadores de servicios de salud por esterilización forzada a mujeres, con motivo de atención ginecológica y/o obstétrica.","Desagregar por: 
Hablante de lengua indígena, edad de las mujeres. 
Dependencia responsable. 

De ese número de quejas ¿cuántas terminaron por conciliación y cuántas mediante recomendación? 
Desagregar por: 
Número de recomendaciones emitidas.
Número de recomendaciones aceptadas.

Favor de anexar la versión pública de las resoluciones por conciliación y de las recomendaciones.","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BD2BC1C675944882","Consulta vía Infomex - Sin costo","04/05/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da respuesta a solicitud de folio 00159715","13/04/2015","MEXICO","","","",Organismos Autónomos
="00183815","15/04/2015","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Número total de quejas recibidas durante el año 2014 relacionadas con policías adscritos a la Secretaría de Seguridad Pública Estatal.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/123324932F9B35AE","Consulta vía Infomex - Sin costo","08/05/2015","06.- ACEPTADA, Respuesta Vía PNT","Se da Respuesta Solicitud de Folio 00183815- José Ignacio Solórzano","23/04/2015","MEXICO","","","",Organismos Autónomos
