FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="00026319","09/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Manual","Información pública","Quisiera pedir información sobre Dirección de Atención a los Derechos Sexuales en Sonora y si es posible tener acceso a datos sobre la violencia y discriminación a homosexuales. Gracias","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/5525BCDB678FA2CF","Consulta vía Correo Electrónico - Sin Costo","29/01/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/01/2019","","Sonora","Hermosillo","83130",Organismos Autónomos
="00050319","11/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Manual","Información pública","Solicito que me informe por escrito lo que procede legalmente después de agotar como ya sucedió en las 3 solicitudes de informe de autoridad a Conalep Sonora con referencia al expediente CEDH/III/22/01/0658/2018. (se adjunta evidencia).","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/24AD42C5A536C872","Consulta vía Infomex - Sin costo","05/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/01/2019","","Sonora","","83260",Organismos Autónomos
="00070319","16/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Se solicita lo siguiente:

Registro con el número de quejas recibidas, entre el 2008 y el 2019, por la violación al principio de presunción de inocencia al que todo mexicano tiene derecho durante una investigación legal. Se pide que la información sea desglosada año por año, que se especifique la institución que violó el principio de presunción de inocencia y que se informe de qué manera se violó dicho principio.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/38E5F0B374394A9F","Otro medio","07/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","24/01/2019","MEXICO","","","",Organismos Autónomos
="00070419","16/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Se solicita lo siguiente:

Registro con el número de quejas recibidas, entre el 2008 y el 2019, por la violación al principio de presunción de inocencia al que todo mexicano tiene derecho durante una investigación legal. Se pide que la información sea desglosada año por año, que se especifique la institución que violó el principio de presunción de inocencia y que se informe de qué manera se violó dicho principio.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/DFD14D4746D8A733","Otro medio","07/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","24/01/2019","MEXICO","","","",Organismos Autónomos
="00159319","30/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1.      ¿CUÁNTAS QUEJAS SE HAN INTERPUESTO POR PARTE DE PRESUNTOS RESPONSABLES POR EL DELITO DE SECUESTRO SE HAN INTERPUESTO Y EN QUÉ ETAPA PROCESAL ARGUMENTAN QUE LES FUERON VIOLENTADOS ESOS DERECHOS?

 

2.      ¿CUÁNTAS QUEJAS SE HAN INTERPUESTO POR PARTE DE SENTENCIADOS POR EL DELITO DE SECUESTRO SE HAN INTERPUESTO Y EN QUÉ ETAPA PROCESAL ARGUMENTAN QUE LES FUERON VIOLENTADOS ESOS DERECHOS?

 

3.      ¿ CUÁNTAS RECOMENDACIONES POR VIOLACIONES A DERECHOS HUMANOS, SE HAN EMITIDO PARA PRESUNTOS RESPONSABLES POR SECUESTRO Y PARA SENTENCIADOS POR EL DELITO DE SECUESTRO?","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/D2FC4735832106A2","Consulta vía Infomex - Sin costo","25/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/02/2019","MEXICO","","","",Organismos Autónomos
="00161819","31/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","solicito el número de quejas presentadas relacionadas con los delitos de :  violencia sexual, aborto,feminicidio,trata y desaparición, HOMICIDIO POR PARENTESCO, HOMICIDIO A MUJERES solicito los datos desagregados por sexo es decir si la queja la presentan hombres o mujeres, solicito los datos de los años 2017,2018 y 2019. solicito los datos desagregados por año y por delito.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C9B0AF276450BFA1","Consulta vía Infomex - Sin costo","25/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/02/2019","MEXICO","","","",Organismos Autónomos
="00161919","31/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","solicito el número de quejas presentadas relacionadas con los delitos de :  violencia sexual, aborto,feminicidio,trata y desaparición, HOMICIDIO POR PARENTESCO, HOMICIDIO A MUJERES solicito los datos desagregados por sexo es decir si la queja la presentan hombres o mujeres, solicito los datos de los años 2017,2018 y 2019. solicito los datos desagregados por año y por delito.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BA0D9E74A7706A8A","Consulta vía Infomex - Sin costo","25/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/02/2019","MEXICO","","","",Organismos Autónomos
="00162119","31/01/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","solicito el número de quejas presentadas relacionadas con los delitos de :  violencia sexual, aborto,feminicidio,trata y desaparición, HOMICIDIO POR PARENTESCO, HOMICIDIO A MUJERES solicito los datos desagregados por sexo es decir si la queja la presentan hombres o mujeres, solicito los datos de los años 2017,2018 y 2019. solicito los datos desagregados por año y por delito.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/3BB0573B2A099FDB","Consulta vía Infomex - Sin costo","25/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","22/02/2019","MEXICO","","","",Organismos Autónomos
="00181319","05/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","SEGUN EL CONTENIDO DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS, Y DEMAS LEGISLACIONES NACIONALESE INTERNACIONALES APLICABLES,  QUE HAN SIDO ANALIZADAS EN EL EJERCICIO DE SUS ATRIBUCIONES Y FACULTADES PARA EFECTOS DE LA EMISION DE SUS RESOLUCIONES Y ACTOS DE RECOMENDACIONES O LO QUE CORRESPONDA, LA DILACION E INACTIVIDAD DEL AGENTE DEL MINISTERIO PUBLICO EN LA INVESTIGACION DE DELITOS, SE HAN DETERMINADO COMO RESPONSABILIDAD ADMINISTRATIVA IRREGULAR O COMO PARTE DE  SUS ACTIVIDADES CONSTITUCIONALES","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/22A20531835F7A61","Consulta vía Infomex - Sin costo","12/02/2019","05.- Rechazo por Otro Motivo (Improcedente)","NO contiene una interrogante","12/02/2019","MEXICO","","","",Organismos Autónomos
="00188619","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Proporcione el catálogo o documento en el que conste el listado de las violaciones de derechos humanos (así como su definición), conforme a las cuales califica las quejas que investiga y emite recomendaciones, señalando su fecha de emisión y de la última modificación.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/1B2C20CA2BE62156","Consulta vía Infomex - Sin costo","27/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","27/02/2019","MEXICO","","","",Organismos Autónomos
="00188919","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Proporcione el catálogo o documento en el que conste el listado de las violaciones de derechos humanos (así como su definición), conforme a las cuales califica las quejas que investiga y emite recomendaciones, señalando su fecha de emisión y de la última modificación.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/2732EC288A8092AC","Consulta vía Infomex - Sin costo","27/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","27/02/2019","MEXICO","","","",Organismos Autónomos
="00191219","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Estatuto, lineamientos, reglamento u otros instrumentos normativos que regulen los procesos de ingreso, permanencia, promoción y evaluación del servicio profesional o civil de carrera en esa institución, especificando la fecha de emisión así como de su última modificación. Además, convocatorias o acuerdos emitidos para el inicio de dichos procesos durante los últimos 5 años.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C2DB9399B4DA0C6B","Consulta vía Infomex - Sin costo","27/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/02/2019","MEXICO","","","",Organismos Autónomos
="00191419","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito la siguiente información desde el año 2000 a 2018
1. Número de quejas por violaciones a los derechos humanos por año y agente o dependencia (policía, ministerio público, soldado, etcétera)
2. Número de hechos presuntamente violatorios de derechos humanos por año y agente o dependencia (policía, ministerio público, soldado, etcétera)
3. Número de recomendaciones por violaciones a derechos humanos por año y agente o dependencia (policía, ministerio público, soldado, etcétera)","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BE966B2C68EBFA79","Consulta vía Infomex - Sin costo","28/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","27/02/2019","MEXICO","","","",Organismos Autónomos
="00192519","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, manual de procedimientos y/o cualquier otro documento que regule el proceso de investigación de quejas por presuntas violaciones a derechos humanos en su institución.

2. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, manual de procedimientos y/o cualquier otro documento que regule el proceso de elaboración, notificación (a las autoridades y a las personas quejosas o agraviadas) y publicación de recomendaciones en su institución.

3. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, manual de procedimientos y/o cualquier otro documento que regule el proceso de seguimiento y conclusión de recomendaciones en su institución.

4. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, convenio, manual de procedimientos y/o cualquier otro documento que regule en su institución el proceso de canalización de víctimas a la comisión estatal de atención a víctimas, a la Comisión Ejecutiva de Atención a Víctimas o a la instancia correspondiente de coordinar su atención conforme a la Ley General de Víctimas o la ley estatal en la materia.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/7455BDC51AE3E4BD","Consulta vía Infomex - Sin costo","28/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/02/2019","MEXICO","","","",Organismos Autónomos
="00192619","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. Acciones de inconstitucionalidad interpuestas a partir de 2006 por su institución, por año, especificando la ley u ordenamiento impugnado y el estatus actual del recurso. Proporcionar la información en archivo Excel. 

2. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, manual de procedimientos o cualquier otro documento que regule el proceso por el cual se informa a las personas usuarias de su institución (quejosas, peticionarias o agraviadas) del derecho que les asiste para interponer un recurso de queja o impugnación ante la Comisión Nacional de los Derechos Humanos, así como el documento, formato o cualquier otro material utilizado para informarles sobre dicho derecho.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/D7C6231A4D5E7B00","Consulta vía Infomex - Sin costo","28/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/02/2019","MEXICO","","","",Organismos Autónomos
="00192719","07/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. Acciones de inconstitucionalidad interpuestas a partir de 2006 por su institución, por año, especificando la ley u ordenamiento impugnado y el estatus actual del recurso. Proporcionar la información en archivo Excel. 

2. Además de su Ley y Reglamento Interno, proporcione reglamento, lineamientos, manual de procedimientos o cualquier otro documento que regule el proceso por el cual se informa a las personas usuarias de su institución (quejosas, peticionarias o agraviadas) del derecho que les asiste para interponer un recurso de queja o impugnación ante la Comisión Nacional de los Derechos Humanos, así como el documento, formato o cualquier otro material utilizado para informarles sobre dicho derecho.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/72E23FCD541D8CC0","Consulta vía Infomex - Sin costo","28/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/02/2019","MEXICO","","","",Organismos Autónomos
="00194619","08/02/2019","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Programas que tienen designado a reintegración social de víctimas de trata de personas y el presupuesto que tienen para cumplir con sus responsabilidades, la cifra más actual que tengan 2018 o 2019. 
Número de víctimas identificadas de trata de personas ordenado por su tipo de explotación en el 2018.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/67C7B3CEBF34D774","Consulta vía Infomex - Sin costo","28/02/2019","06.- ACEPTADA, Respuesta Vía PNT","Se adjunta archivo conteniendo la respuesta definitiva de la presente solicitud de acceso a la información pública y se notifica oportunamente vía internet a la dirección de correo electrónico proporcionada.","28/02/2019","MEXICO","","","",Organismos Autónomos
